Date Opened,Time Opened,Date Closed,Time Closed,Symbol,Contract,Direction,Strike,Expiration,Contracts,Entry Price,Entry Amount,Entry Latency (ms),Entry Slippage %,Exit Price,Exit Amount,Exit Latency (ms),Exit Slippage %,Status,Result,UserName,P&L,P&L %
2026-05-27,09:36:01,2026-05-27,10:50:58,BA,BA260618C00230000,call,230,Jun 18 2026,1,5.50,550.00,6671,+4.76%,5.00,500.00,,,Closed,XtradesExit,ScottAlerts,-50.00,-9.09%
2026-05-27,09:54:22,2026-05-27,11:22:25,SPY,SPY260528P00750000,put,750,May 28 2026,4,2.46,984.00,4763,+4.24%,2.72,1088.00,1312,-2.86%,Closed,XtradesExit,johnjm90,+104.00,+10.57%
2026-05-27,10:05:16,2026-05-27,11:23:45,AMZN,AMZN260618C00280000,call,280,Jun 18 2026,2,4.80,960.00,2847,0.00%,4.90,980.00,3475,-2.00%,Closed,XtradesExit,Fibonaccizer,+20.00,+2.08%
2026-05-27,10:12:04,2026-05-27,10:17:45,TSLA,TSLA260529C00440000,call,440,May 29 2026,1,6.74,674.00,,,7.26,726.00,,,Closed,XtradesExit,Sean@BearishBull,+52.00,+7.72%
2026-05-27,10:28:31,2026-05-27,10:30:27,TSLA,TSLA260529C00440000,call,440,May 29 2026,1,5.70,570.00,12683,0.00%,6.31,631.00,6000,-0.47%,Closed,XtradesExit,Sean@BearishBull,+61.00,+10.70%
2026-05-27,10:50:16,2026-05-27,10:59:12,TSLA,TSLA260527P00445000,put,445,May 27 2026,2,4.54,908.00,,,4.50,900.00,,,Closed,XtradesExit,Mthorseman,-8.00,-0.88%
2026-05-27,11:01:35,2026-05-27,11:05:49,TSLA,TSLA260527P00442500,put,443,May 27 2026,3,2.99,897.00,,,3.66,1098.00,,,Closed,XtradesExit,Mthorseman,+201.00,+22.41%
2026-05-27,11:36:22,2026-05-27,12:35:10,QQQ,QQQ260529C00725000,call,725,May 29 2026,1,6.29,629.00,3457,+0.64%,6.82,682.00,1372,-0.87%,Closed,XtradesExit,Sean@BearishBull,+53.00,+8.43%
2026-05-27,11:45:41,2026-05-28,10:42:17,SMCI,SMCI260821C00040000,call,40,Aug 21 2026,2,5.25,1050.00,3892,+5.00%,6.70,1340.00,2163,-4.29%,Closed,XtradesExit,KrazyA - [$TSLA 👶 🐐],+290.00,+27.62%
2026-05-27,12:02:47,2026-05-28,09:34:27,GOOGL,GOOGL260605C00405000,call,405,Jun 05 2026,3,2.83,849.00,3988,-0.70%,1.51,453.00,,,Closed,StoppedOut,vidroid,-396.00,-46.64%
2026-05-27,12:16:43,2026-05-28,09:59:36,APLD,APLD260618C00050000,call,50,Jun 18 2026,2,3.70,740.00,2374,-0.27%,3.75,750.00,2150,-2.60%,Closed,XtradesExit,ScottAlerts,+10.00,+1.35%
2026-05-27,12:27:35,2026-05-28,10:19:22,NOK,NOK260529P00015000,put,15,May 29 2026,62,0.16,992.00,3150,+0.00%,0.14,859.00,14616,-13.41%,Closed,XtradesExit,Firestarter,-133.00,-13.41%
2026-05-27,12:40:34,2026-05-28,10:14:11,PLTR,PLTR260626C00137000,call,137,Jun 26 2026,1,5.95,595.00,2379,+1.71%,5.95,595.00,25507,-25.63%,Closed,XtradesExit,Firestarter,+0.00,+0.00%
2026-05-27,13:54:58,2026-05-27,13:56:52,IREN,IREN260529C00066000,call,66,May 29 2026,3,2.90,870.00,2373,+3.20%,2.79,837.00,1229,-1.06%,Closed,XtradesExit,Mthorseman,-33.00,-3.79%
2026-05-28,09:34:30,2026-05-28,14:08:46,NASA,NASA260618C00045000,call,45,Jun 18 2026,2,4.00,800.00,6637,+5.26%,3.70,740.00,15505,-2.63%,Closed,XtradesExit,Tim,-60.00,-7.50%
2026-05-28,09:38:48,,,UNH,UNH260618C00390000,call,390,Jun 18 2026,1,8.70,870.00,4033,+4.82%,,,,,Open,Open,sageofsixpaths (brycat23),,
2026-05-28,09:43:25,2026-05-28,09:48:41,MSFT,MSFT260618C00425000,call,425,Jun 18 2026,1,9.35,935.00,19986,+5.06%,10.70,1070.00,1580,-2.73%,Closed,XtradesExit,Fibonaccizer,+135.00,+14.44%
2026-05-28,09:45:33,2026-05-28,09:57:20,QQQ,QQQ260528C00727000,call,727,May 28 2026,4,2.56,1024.00,2789,+4.07%,2.80,1120.00,2097,+1.45%,Closed,XtradesExit,woooh77,+96.00,+9.38%
2026-05-28,09:54:33,2026-05-28,10:14:57,SPY,SPY260528C00751000,call,751,May 28 2026,12,0.77,924.00,14563,-6.10%,2.60,3120.00,3046,-1.89%,Closed,XtradesExit,SpacePhrasing,+2196.00,+237.66%
2026-05-28,09:56:40,2026-05-28,10:50:27,ORCL,ORCL260605C00200000,call,200,Jun 05 2026,1,5.55,555.00,2964,+2.78%,6.35,635.00,1191,-1.55%,Closed,XtradesExit,Fibonaccizer,+80.00,+14.41%
2026-05-28,10:04:31,,,BABA,BABA260821C00125000,call,125,Aug 21 2026,1,10.00,1000.00,8790,+1.83%,,,,,Open,Open,woooh77,,
2026-05-28,10:05:08,2026-05-28,11:06:09,CRWV,CRWV260605C00120000,call,120,Jun 05 2026,7,1.40,980.00,3739,+0.00%,2.39,1673.00,1245,-0.42%,Closed,XtradesExit,vidroid,+693.00,+70.71%
2026-05-28,10:14:07,,,AAPL,AAPL260618C00315000,call,315,Jun 18 2026,1,5.95,595.00,14048,+2.59%,,,,,Open,Open,Fibonaccizer,,
2026-05-28,10:22:35,,,IBIT,IBIT260618C00042000,call,42,Jun 18 2026,8,1.22,976.00,14364,+0.00%,,,,,Open,Open,Paltrader SPY scalps,,
2026-05-28,10:22:49,,,COIN,COIN260717C00240000,call,240,Jul 17 2026,3,3.10,930.00,12095,-1.59%,,,,,Open,Open,Gizmo,,
2026-05-28,10:24:56,2026-05-28,11:02:52,SPY,SPY260528C00753000,call,753,May 28 2026,10,0.99,990.00,2167,+0.00%,1.42,1420.00,1148,-2.07%,Closed,XtradesExit,SpacePhrasing,+430.00,+43.43%
2026-05-28,10:35:48,,,RUN,RUN270115C00015000,call,15,Jan 15 2027,2,4.55,910.00,3842,+5.81%,,,,,Open,Open,KrazyA - [$TSLA 👶 🐐],,
2026-05-28,10:36:24,2026-05-28,11:04:12,IREN,IREN260529C00065000,call,65,May 29 2026,5,1.72,860.00,3014,+0.00%,2.41,1205.00,1222,+0.42%,Closed,XtradesExit,hypothesis2304,+345.00,+40.12%
2026-05-28,10:37:30,2026-05-28,10:42:31,MSFT,MSFT260529C00425000,call,425,May 29 2026,3,2.91,873.00,2160,+2.83%,3.70,1110.00,1791,+2.78%,Closed,XtradesExit,hypothesis2304,+237.00,+27.15%
2026-05-28,10:46:22,2026-05-28,10:57:56,TSLA,TSLA260529C00440000,call,440,May 29 2026,1,5.60,560.00,2368,+3.70%,6.16,616.00,1516,-2.99%,Closed,XtradesExit,hypothesis2304,+56.00,+10.00%
2026-05-28,10:58:20,2026-05-28,12:43:43,META,META260529C00647500,call,648,May 29 2026,4,2.23,892.00,3174,+3.72%,1.03,412.00,,,Closed,StoppedOut,vidroid,-480.00,-53.81%
2026-05-28,10:59:27,2026-05-28,11:04:23,ORCL,ORCL260605C00217500,call,218,Jun 05 2026,3,2.61,783.00,3158,+2.35%,2.83,849.00,1169,-4.07%,Closed,XtradesExit,vidroid,+66.00,+8.43%
2026-05-28,11:05:42,,,NOK,NOK260717C00015000,call,15,Jul 17 2026,5,1.92,960.00,3238,+0.00%,,,,,Open,Open,Firestarter,,
2026-05-28,11:06:18,2026-05-28,11:09:09,SPY,SPY260529P00754000,put,754,May 29 2026,4,2.21,884.00,2421,+0.91%,2.28,912.00,1196,-0.87%,Closed,XtradesExit,johnjm90,+28.00,+3.17%
2026-05-28,11:09:27,,,QQQ,QQQ260529P00733000,put,733,May 29 2026,3,3.00,900.00,2178,-0.66%,,,,,Open,Open,Sean@BearishBull,,
2026-05-28,11:15:09,,,MSFT,MSFT260612C00440000,call,440,Jun 12 2026,2,4.90,980.00,2097,+4.03%,,,,,Open,Open,woooh77,,
2026-05-28,11:15:45,,,ORCL,ORCL260529P00200000,put,200,May 29 2026,5,2.08,1040.00,2648,+4.00%,,,,,Open,Open,Sean@BearishBull,,
2026-05-28,11:35:25,,,NOW,NOW260821C00120000,call,120,Aug 21 2026,1,8.90,890.00,3841,+1.14%,,,,,Open,Open,KrazyA - [$TSLA 👶 🐐],,
