Date,SPY Price,SPY Prev Close,SPY Gap %,SPY 20MA,SPY vs 20MA %,SPY 50MA,SPY vs 50MA %,SPY 200MA,SPY vs 200MA %,QQQ Price,QQQ Prev Close,QQQ Gap %,QQQ 50MA,QQQ vs 50MA %,QQQ 200MA,QQQ vs 200MA %,VIX,VIX Prev,VIX Delta %,SPY ADX,SPY PDI,SPY NDI,Regime Tier,Sizing Multiplier,Block Calls,Chop Score,Market Bias
2026-06-08,737.55,757.09,-2.58%,746.29,-1.17%,713.51,3.37%,683.93,7.84%,705.06,705.06,0.00%,667.81,5.58%,621.82,13.39%,18.70,18.70,0.00%,29.11,25.97,29.46,Choppy,-50.00%,FALSE,0,Caution — Below 20MA
2026-06-09,739.22,739.22,0.00%,746.37,-0.96%,715.39,3.33%,684.43,8.00%,716.07,716.07,0.00%,670.65,6.77%,622.57,15.02%,17.93,17.93,0.00%,27.47,24.07,27.30,Bullish,0.00%,FALSE,0,Caution — Below 20MA2026-06-10,737.05,739.22,-0.29%,746.26,-1.23%,717.45,+2.73%,684.94,+7.61%,707.83,707.83,0.00%,673.56,+5.09%,623.29,+13.56%,21.04,19.87,+5.89%,27.53,19.34,34.57,Bearish,-75.00%,True,3,Caution — Below 20MA
2026-06-10,732.67,737.05,-0.59%,745.99,-1.78%,719.47,+1.84%,685.38,+6.90%,702.26,702.26,0.00%,676.44,+3.82%,623.95,+12.55%,20.76,19.87,+4.48%,27.58,18.24,32.61,Bearish,-75.00%,True,3,Caution — Below 20MA
2026-06-10,730.40,737.05,-0.90%,745.87,-2.07%,719.42,+1.53%,685.37,+6.57%,698.44,698.44,0.00%,676.36,+3.26%,623.93,+11.94%,21.67,19.87,+9.06%,27.58,17.80,31.82,Bearish,-75.00%,True,3,Caution — Below 20MA
2026-06-10,730.94,737.05,-0.83%,745.90,-2.01%,719.43,+1.60%,685.37,+6.65%,700.14,700.14,0.00%,676.40,+3.51%,623.93,+12.21%,21.93,19.87,+10.37%,27.58,17.71,31.66,Bearish,-75.00%,True,3,Caution — Below 20MA
2026-06-11,725.43,737.05,-1.58%,745.62,-2.71%,719.32,+0.85%,685.34,+5.85%,693.69,693.69,0.00%,676.27,+2.58%,623.90,+11.19%,21.22,22.22,-4.50%,27.58,17.36,31.03,Bearish,-75.00%,True,3,Caution — Below 20MA
2026-06-11,725.15,725.43,-0.04%,744.77,-2.63%,720.82,+0.60%,685.75,+5.74%,696.16,696.16,0.00%,678.65,+2.58%,624.53,+11.47%,21.29,22.22,-4.19%,27.66,16.45,29.65,Bearish,-50.00%,True,3,Caution — Below 20MA
2026-06-11,726.52,725.43,+0.15%,744.83,-2.46%,720.85,+0.79%,685.76,+5.94%,699.39,699.39,0.00%,678.71,+3.05%,624.55,+11.98%,21.33,22.22,-4.01%,27.71,16.37,30.00,Bearish,-50.00%,True,3,Caution — Below 20MA
2026-06-11,735.00,725.43,+1.32%,745.26,-1.38%,721.02,+1.94%,685.80,+7.17%,710.60,710.60,+0.00%,678.94,+4.66%,624.60,+13.77%,19.68,22.22,-11.43%,27.71,15.74,28.84,Choppy,-25.00%,False,2,Caution — Below 20MA
2026-06-12,737.76,725.43,+1.70%,745.40,-1.02%,721.07,+2.31%,685.82,+7.57%,717.12,717.12,+0.00%,679.07,+5.60%,624.64,+14.81%,19.47,19.44,+0.15%,27.38,16.55,27.43,Choppy,-25.00%,False,1,Caution — Below 20MA
2026-06-12,742.51,737.76,+0.64%,745.11,-0.35%,722.82,+2.72%,686.30,+8.19%,721.02,721.02,0.00%,681.80,+5.75%,625.38,+15.29%,19.29,19.44,-0.77%,26.77,17.64,25.83,Choppy,-25.00%,False,1,Caution — Below 20MA
2026-06-12,741.69,737.76,+0.53%,745.07,-0.45%,722.80,+2.61%,686.30,+8.07%,722.08,722.08,0.00%,681.82,+5.90%,625.38,+15.46%,18.79,19.44,-3.34%,26.52,18.70,25.50,Choppy,-25.00%,False,2,Caution — Below 20MA
2026-06-12,741.45,737.76,+0.50%,745.06,-0.48%,722.80,+2.58%,686.30,+8.04%,722.33,722.33,+0.00%,681.83,+5.94%,625.38,+15.50%,18.29,19.44,-5.92%,26.52,18.70,25.50,Choppy,-25.00%,False,2,Caution — Below 20MA
2026-06-15,741.75,737.76,+0.54%,745.07,-0.45%,722.80,+2.62%,686.30,+8.08%,721.34,721.34,0.00%,681.81,+5.80%,625.38,+15.34%,16.40,17.68,-7.24%,26.52,18.70,25.50,Bullish,+0.00%,False,2,Caution — Below 20MA
2026-06-15,754.30,741.75,+1.69%,745.83,+1.14%,724.77,+4.07%,686.84,+9.82%,741.69,741.69,+0.00%,684.94,+8.29%,626.22,+18.44%,16.27,17.68,-7.98%,24.79,24.23,23.15,Bullish,+0.00%,False,1,Bullish
2026-06-15,755.75,741.75,+1.89%,745.90,+1.32%,724.80,+4.27%,686.85,+10.03%,743.63,743.63,0.00%,684.98,+8.56%,626.23,+18.75%,16.04,17.68,-9.28%,25.03,25.48,22.77,Bullish,+0.00%,False,1,Bullish
2026-06-15,755.21,741.75,+1.81%,745.88,+1.25%,724.79,+4.20%,686.84,+9.95%,743.55,743.55,+0.00%,684.98,+8.55%,626.23,+18.73%,16.14,17.68,-8.71%,25.03,25.48,22.77,Bullish,+0.00%,False,1,Bullish
2026-06-16,754.83,741.75,+1.76%,745.86,+1.20%,724.78,+4.15%,686.84,+9.90%,744.00,744.00,+0.00%,684.99,+8.62%,626.23,+18.81%,16.08,16.20,-0.74%,25.03,25.48,22.77,Bullish,+0.00%,False,0,Bullish
2026-06-16,753.09,754.83,-0.23%,746.58,+0.87%,726.66,+3.64%,687.36,+9.56%,737.39,737.39,0.00%,687.97,+7.18%,627.03,+17.60%,15.98,16.20,-1.36%,23.64,24.87,22.22,Bullish,+0.00%,False,0,Bullish
2026-06-16,752.60,754.83,-0.30%,746.56,+0.81%,726.65,+3.57%,687.36,+9.49%,734.38,734.38,0.00%,687.91,+6.76%,627.02,+17.12%,15.88,16.20,-1.98%,23.64,24.77,22.17,Bullish,+0.00%,False,0,Bullish
2026-06-16,752.14,754.83,-0.36%,746.53,+0.75%,726.65,+3.51%,687.36,+9.42%,734.11,734.11,0.00%,687.90,+6.72%,627.02,+17.08%,15.86,16.20,-2.10%,23.61,24.72,22.32,Bullish,+0.00%,False,0,Bullish
2026-06-17,750.33,754.83,-0.60%,746.44,+0.52%,726.61,+3.26%,687.35,+9.16%,729.86,729.86,+0.00%,687.82,+6.11%,627.00,+16.41%,16.04,16.41,-2.25%,23.42,24.43,23.22,Bullish,+0.00%,False,0,Bullish
2026-06-17,749.40,750.33,-0.12%,747.23,+0.29%,728.41,+2.88%,687.87,+8.95%,731.76,731.76,0.00%,690.68,+5.95%,627.80,+16.56%,16.64,16.41,+1.40%,21.81,23.62,24.02,Bullish,+0.00%,False,0,Neutral
2026-06-17,749.89,750.33,-0.06%,747.25,+0.35%,728.42,+2.95%,687.87,+9.02%,732.26,732.26,0.00%,690.69,+6.02%,627.81,+16.64%,16.89,16.41,+2.93%,21.81,23.62,24.02,Bullish,+0.00%,False,0,Neutral
2026-06-17,750.87,750.33,+0.07%,747.30,+0.48%,728.44,+3.08%,687.88,+9.16%,733.02,733.02,0.00%,690.70,+6.13%,627.81,+16.76%,16.85,16.41,+2.68%,21.81,23.62,24.02,Bullish,+0.00%,False,0,Neutral
